Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
207,315.0,99.0,2,3.5,3.0,7.89,0.0,0.63
14,,,3,4.0,3.0,,,0.62
119,296.0,99.0,2,3.0,3.5,7.28,0.0,0.47
243,324.0,115.0,3,3.5,3.0,8.76,1.0,0.7
236,,,5,4.5,4.0,,,0.88
292,,,2,1.5,2.0,,,0.56
2,,,4,4.0,4.5,,,0.76
395,,,4,4.5,4.0,,,0.89
320,,,4,3.5,3.0,,,0.8
271,,,2,2.5,3.0,,,0.72
72,,,5,5.0,5.0,,,0.96
313,311.0,107.0,4,4.5,4.5,9.0,1.0,0.78
228,312.0,110.0,2,3.5,3.0,8.53,0.0,0.64
300,,,3,3.0,3.5,,,0.71
195,,,3,3.5,3.0,,,0.77
184,,,3,4.0,4.0,,,0.75
105,,,3,3.5,3.0,,,0.74
328,295.0,101.0,2,2.5,2.0,7.86,0.0,0.69
374,321.0,109.0,3,3.0,3.0,8.54,1.0,0.79
265,,,2,3.0,2.5,,,0.75
206,295.0,99.0,2,2.5,3.0,7.65,0.0,0.57
339,,,5,4.0,4.0,,,0.81
353,,,2,3.0,3.5,,,0.64
74,314.0,108.0,4,4.5,4.0,9.04,1.0,0.84
117,,,3,4.0,3.5,,,0.56
322,,,3,4.0,4.0,,,0.73
368,,,1,1.0,2.5,,,0.57
179,,,3,2.5,3.0,,,0.72
248,311.0,104.0,2,2.5,3.5,8.48,0.0,0.71
144,,,4,4.5,4.0,,,0.97
28,298.0,98.0,2,1.5,2.5,7.5,1.0,0.44
40,,,2,4.0,3.5,,,0.48
103,,,2,4.0,3.5,,,0.62
225,305.0,105.0,2,3.0,2.0,8.23,0.0,0.67
311,,,3,3.0,3.5,,,0.76
201,,,3,2.5,3.0,,,0.73
31,,,2,3.0,3.0,,,0.65
210,301.0,104.0,3,3.5,4.0,8.12,1.0,0.68
262,312.0,104.0,3,3.5,4.0,8.09,0.0,0.71
258,324.0,100.0,3,4.0,5.0,8.64,1.0,0.78
388,,,2,2.0,3.5,,,0.53
170,311.0,99.0,2,2.5,3.0,7.98,0.0,0.65
383,324.0,110.0,4,4.5,4.0,9.15,1.0,0.82
281,311.0,102.0,3,4.5,4.0,8.64,1.0,0.68
141,329.0,110.0,2,4.0,3.0,9.15,1.0,0.84
276,,,3,3.5,3.0,,,0.78
81,312.0,105.0,3,2.0,3.0,8.02,1.0,0.5
166,322.0,110.0,5,4.5,4.0,8.97,0.0,0.78
87,315.0,106.0,3,4.5,3.5,8.42,0.0,0.72
69,,,3,3.5,4.0,,,0.68
142,,,2,4.5,3.5,,,0.9
289,314.0,104.0,4,5.0,5.0,9.02,0.0,0.82
220,312.0,104.0,3,3.5,3.5,8.42,0.0,0.74
278,,,2,2.5,3.0,,,0.7
183,299.0,100.0,2,3.0,3.5,7.88,0.0,0.68
78,301.0,99.0,2,3.0,2.0,8.22,0.0,0.64
96,304.0,100.0,4,1.5,2.5,7.84,0.0,0.42
27,322.0,109.0,5,4.5,3.5,8.8,0.0,0.76
169,,,2,2.0,4.0,,,0.64
354,,,3,3.5,2.5,,,0.63
168,,,3,2.0,3.0,,,0.64
118,,,4,2.0,2.5,,,0.45
43,313.0,107.0,2,2.5,2.0,8.5,1.0,0.53
132,,,5,5.0,4.5,,,0.77
222,,,3,3.5,4.0,,,0.75
244,325.0,114.0,3,3.5,3.0,9.04,1.0,0.76
172,,,5,4.0,4.5,,,0.89
295,,,2,2.5,2.0,,,0.61
352,325.0,110.0,4,3.5,4.0,8.67,1.0,0.73
331,327.0,113.0,3,3.5,3.0,8.66,1.0,0.8
160,,,1,1.5,2.0,,,0.52
147,,,3,2.0,2.5,,,0.75
58,,,2,4.0,2.0,,,0.46
232,319.0,106.0,3,3.5,2.5,8.33,1.0,0.74
149,339.0,116.0,4,4.0,3.5,9.8,1.0,0.96
255,321.0,114.0,4,4.0,5.0,9.12,0.0,0.85
304,323.0,107.0,3,3.5,3.5,8.55,1.0,0.73
70,328.0,115.0,4,4.5,4.0,9.16,1.0,0.78
73,,,5,5.0,5.0,,,0.93
66,,,4,3.5,3.5,,,0.55
237,325.0,112.0,4,4.0,4.5,9.17,1.0,0.85
68,316.0,107.0,2,3.5,3.5,8.64,1.0,0.57
112,,,4,4.0,4.0,,,0.69
18,,,3,4.0,3.0,,,0.65
116,310.0,106.0,4,4.5,4.5,9.04,1.0,0.66
153,321.0,112.0,5,5.0,5.0,9.06,1.0,0.86
259,,,4,5.0,5.0,,,0.77
21,312.0,107.0,3,3.0,2.0,7.9,1.0,0.64
234,304.0,100.0,2,2.5,3.5,8.07,0.0,0.64
48,339.0,119.0,5,4.5,4.0,9.7,0.0,0.89
75,,,3,3.0,5.0,,,0.74
261,327.0,108.0,5,5.0,3.5,9.13,1.0,0.87
377,297.0,96.0,2,2.5,2.0,7.43,0.0,0.34
229,,,3,4.0,3.5,,,0.71
4,,,3,3.5,2.5,,,0.8
157,315.0,105.0,3,2.0,2.5,8.34,0.0,0.7
400,333.0,117.0,4,5.0,4.0,9.66,1.0,0.95
254,335.0,115.0,4,4.5,4.5,9.68,1.0,0.93
3,316.0,104.0,3,3.0,3.5,8.0,1.0,0.72
104,317.0,104.0,2,4.5,4.0,8.47,0.0,0.57
387,302.0,101.0,2,2.5,3.5,7.96,0.0,0.46
213,338.0,120.0,4,5.0,5.0,9.66,1.0,0.95
156,312.0,109.0,3,3.0,3.0,8.69,0.0,0.77
114,320.0,110.0,2,4.0,3.5,8.56,0.0,0.72
90,316.0,109.0,4,4.5,3.5,8.76,1.0,0.74
342,326.0,110.0,3,3.5,3.5,8.76,1.0,0.79
301,309.0,106.0,2,2.5,2.5,8.0,0.0,0.62
71,332.0,118.0,5,5.0,5.0,9.64,1.0,0.94
199,311.0,104.0,3,4.5,4.5,8.43,0.0,0.7
358,301.0,104.0,2,3.5,3.5,7.89,1.0,0.68
253,318.0,100.0,2,2.5,3.5,8.54,1.0,0.71
397,325.0,107.0,3,3.0,3.5,9.11,1.0,0.84
89,314.0,108.0,3,4.5,3.5,8.14,0.0,0.64
57,316.0,102.0,3,2.0,3.0,7.4,0.0,0.64
124,308.0,108.0,3,3.5,3.5,8.22,0.0,0.61
11,325.0,106.0,3,3.5,4.0,8.4,1.0,0.52
343,308.0,106.0,3,3.0,3.0,8.24,0.0,0.58
238,329.0,114.0,5,4.5,5.0,9.19,1.0,0.86
83,320.0,110.0,5,5.0,4.5,9.22,1.0,0.92
215,331.0,117.0,4,4.5,5.0,9.42,1.0,0.94
293,302.0,99.0,2,1.0,2.0,7.97,0.0,0.56
177,329.0,119.0,4,4.5,4.5,9.16,1.0,0.9
35,331.0,112.0,5,4.0,5.0,9.8,1.0,0.94
